,seconds_elapsed,bpm
0,5.68138,105.0
1,5.69138,104.984007625
2,5.70138,104.968007625
3,5.71138,104.952007625
4,5.72138,104.936007625
5,5.73138,104.920007625
6,5.74138,104.904007625
7,5.75138,104.888007625
8,5.76138,104.872007625
9,5.77138,104.856007625
10,5.78138,104.840007625
11,5.79138,104.824007625
12,5.80138,104.808007625
13,5.81138,104.792007625
14,5.82138,104.776007625
15,5.83138,104.760007625
16,5.84138,104.744007625
17,5.85138,104.728007625
18,5.86138,104.712007625
19,5.87138,104.696007625
20,5.88138,104.680007625
21,5.89138,104.664007625
22,5.90138,104.648007625
23,5.91138,104.632007625
24,5.92138,104.616007625
25,5.93138,104.600007625
26,5.94138,104.584007625
27,5.95138,104.56800762499999
28,5.96138,104.552007625
29,5.97138,104.536007625
30,5.98138,104.520007625
31,5.99138,104.504007625
32,6.00138,104.488007625
33,6.01138,104.472007625
34,6.02138,104.456007625
35,6.03138,104.44000762499999
36,6.04138,104.424007625
37,6.05138,104.408007625
38,6.06138,104.392007625
39,6.07138,104.376007625
40,6.08138,104.360007625
41,6.09138,104.344007625
42,6.10138,104.328007625
43,6.11138,104.312007625
44,6.12138,104.296007625
45,6.13138,104.280007625
46,6.14138,104.264007625
47,6.15138,104.248007625
48,6.16138,104.232007625
49,6.17138,104.216007625
50,6.18138,104.200007625
51,6.19138,104.184007625
52,6.20138,104.168007625
53,6.21138,104.152007625
54,6.22138,104.136007625
55,6.23138,104.120007625
56,6.24138,104.104007625
57,6.25138,104.088007625
58,6.26138,104.072007625
59,6.27138,104.056007625
60,6.28138,104.040007625
61,6.29138,104.024007625
62,6.30138,104.008007625
63,6.31138,103.992007625
64,6.32138,103.976007625
65,6.33138,103.960007625
66,6.34138,103.944007625
67,6.35138,103.928007625
68,6.36138,103.912007625
69,6.37138,103.896007625
70,6.38138,103.880007625
71,6.39138,103.864007625
72,6.40138,103.848007625
73,6.41138,103.832007625
74,6.42138,103.816007625
75,6.43138,103.800007625
76,6.44138,103.784007625
77,6.45138,103.768007625
78,6.46138,103.752007625
79,6.47138,103.736007625
80,6.48138,103.720007625
81,6.49138,103.704007625
82,6.50138,103.688007625
83,6.51138,103.672007625
84,6.52138,103.656007625
85,6.53138,103.640007625
86,6.54138,103.624007625
87,6.55138,103.608007625
88,6.56138,103.592007625
89,6.57138,103.576007625
90,6.58138,103.560007625
91,6.59138,103.544007625
92,6.60138,103.528007625
93,6.61138,103.512007625
94,6.62138,103.496007625
95,6.63138,103.480007625
96,6.64138,103.464007625
97,6.65138,103.448007625
98,6.66138,103.432007625
99,6.67138,103.416007625
100,6.68138,103.400007625
101,6.69138,103.384007625
102,6.70138,103.368007625
103,6.71138,103.352007625
104,6.72138,103.336007625
105,6.73138,103.320007625
106,6.74138,103.304007625
107,6.75138,103.288007625
108,6.76138,103.272007625
109,6.77138,103.256007625
110,6.78138,103.240007625
111,6.79138,103.224007625
112,6.80138,103.208007625
113,6.81138,103.192007625
114,6.82138,103.176007625
115,6.83138,103.160007625
116,6.84138,103.144007625
117,6.85138,103.128007625
118,6.86138,103.112007625
119,6.87138,103.096007625
120,6.88138,103.080007625
121,6.89138,103.064007625
122,6.90138,103.048007625
123,6.91138,103.032007625
124,6.92138,103.016007625
125,6.93138,103.000007625
126,6.94138,102.984007625
127,6.95138,102.968007625
128,6.96138,102.952007625
129,6.97138,102.936007625
130,6.98138,102.920007625
131,6.99138,102.904007625
132,7.00138,102.888007625
133,7.01138,102.872007625
134,7.02138,102.856007625
135,7.03138,102.840007625
136,7.04138,102.824007625
137,7.05138,102.808007625
138,7.06138,102.792007625
139,7.07138,102.776007625
140,7.08138,102.760007625
141,7.09138,102.744007625
142,7.10138,102.728007625
143,7.11138,102.712007625
144,7.12138,102.696007625
145,7.13138,102.680007625
146,7.14138,102.664007625
147,7.15138,102.648007625
148,7.16138,102.632007625
149,7.17138,102.616007625
150,7.18138,102.600007625
151,7.19138,102.584007625
152,7.20138,102.56800762499999
153,7.21138,102.552007625
154,7.22138,102.536007625
155,7.23138,102.520007625
156,7.24138,102.504007625
157,7.25138,102.488007625
158,7.26138,102.472007625
159,7.27138,102.456007625
160,7.28138,102.44000762499999
161,7.29138,102.424007625
162,7.30138,102.408007625
163,7.31138,102.392007625
164,7.32138,102.376007625
165,7.33138,102.360007625
166,7.34138,102.344007625
167,7.35138,102.328007625
168,7.36138,102.312007625
169,7.37138,102.296007625
170,7.38138,102.280007625
171,7.39138,102.264007625
172,7.40138,102.248007625
173,7.41138,102.232007625
174,7.42138,102.216007625
175,7.43138,102.200007625
176,7.44138,102.184007625
177,7.45138,102.168007625
178,7.46138,102.152007625
179,7.47138,102.136007625
180,7.48138,102.120007625
181,7.49138,102.104007625
182,7.50138,102.088007625
183,7.51138,102.072007625
184,7.52138,102.056007625
185,7.53138,102.040007625
186,7.54138,102.024007625
187,7.55138,102.008007625
188,7.56138,101.992007625
189,7.57138,101.976007625
190,7.58138,101.960007625
191,7.59138,101.944007625
192,7.60138,101.928007625
193,7.61138,101.912007625
194,7.62138,101.896007625
195,7.63138,101.880007625
196,7.64138,101.864007625
197,7.65138,101.848007625
198,7.66138,101.832007625
199,7.67138,101.816007625
200,7.68138,101.800007625
201,7.69138,101.784007625
202,7.70138,101.768007625
203,7.71138,101.752007625
204,7.72138,101.736007625
205,7.73138,101.720007625
206,7.74138,101.704007625
207,7.75138,101.688007625
208,7.76138,101.672007625
209,7.77138,101.656007625
210,7.78138,101.640007625
211,7.79138,101.624007625
212,7.80138,101.608007625
213,7.81138,101.592007625
214,7.82138,101.576007625
215,7.83138,101.560007625
216,7.84138,101.544007625
217,7.85138,101.528007625
218,7.86138,101.512007625
219,7.87138,101.496007625
220,7.88138,101.480007625
221,7.89138,101.464007625
222,7.90138,101.448007625
223,7.91138,101.432007625
224,7.92138,101.416007625
225,7.93138,101.400007625
226,7.94138,101.384007625
227,7.95138,101.368007625
228,7.96138,101.352007625
229,7.97138,101.336007625
230,7.98138,101.320007625
231,7.99138,101.304007625
232,8.00138,101.288007625
233,8.01138,101.272007625
234,8.02138,101.256007625
235,8.03138,101.240007625
236,8.04138,101.224007625
237,8.05138,101.208007625
238,8.06138,101.192007625
239,8.07138,101.176007625
240,8.08138,101.160007625
241,8.09138,101.144007625
242,8.10138,101.128007625
243,8.11138,101.112007625
244,8.12138,101.096007625
245,8.13138,101.080007625
246,8.14138,101.064007625
247,8.15138,101.048007625
248,8.16138,101.032007625
249,8.17138,101.016007625
250,8.18138,101.000007625
251,8.19138,100.984007625
252,8.20138,100.968007625
253,8.21138,100.952007625
254,8.22138,100.936007625
255,8.23138,100.920007625
256,8.24138,100.904007625
257,8.25138,100.888007625
258,8.26138,100.872007625
259,8.27138,100.856007625
260,8.28138,100.840007625
261,8.29138,100.824007625
262,8.30138,100.808007625
263,8.31138,100.792007625
264,8.32138,100.776007625
265,8.33138,100.760007625
266,8.34138,100.744007625
267,8.35138,100.728007625
268,8.36138,100.712007625
269,8.37138,100.696007625
270,8.38138,100.680007625
271,8.39138,100.664007625
272,8.40138,100.648007625
273,8.41138,100.632007625
274,8.42138,100.616007625
275,8.43138,100.600007625
276,8.44138,100.584007625
277,8.45138,100.56800762499999
278,8.46138,100.552007625
279,8.47138,100.536007625
280,8.48138,100.520007625
281,8.49138,100.504007625
282,8.50138,100.488007625
283,8.51138,100.472007625
284,8.52138,100.456007625
